Issue Type,Summary,Description,Acceptance Criteria,Priority,Story Points,Epic Link,Labels
Epic,Customer Onboarding & Subscription,All stories enabling customers to sign up and purchase a Pureflow subscription.,,High,,,MVP
Epic,Payment & Billing,All stories related to payment processing and billing.,,High,,,MVP
Epic,Notifications & Reminders,All stories for timely notifications to users and staff.,,Medium,,,MVP
Epic,Maintenance Technician Operations,Stories for technician-facing features in the app.,,High,,,MVP
Epic,Admin Portal Basic,Stories for the initial web-based admin dashboard.,,High,,,MVP
Epic,Core Infrastructure & Security,Technical enablers and security foundations for the MVP.,,High,,,MVP
Story,User registration with email/phone,"As a prospective customer, I want to sign up using my email or phone number so that I can create an account.","- Sign‑up requires unique email or phone
- Verification code sent
- Successful account creation redirects to dashboard",High,3,Customer Onboarding & Subscription,MVP
Story,Select subscription plan,"As a customer, I want to select the 25 JOD/mo Pureflow plan so that I understand my costs.","- Plan details displayed
- Price shown in JOD
- Selection stored in cart/session",High,2,Customer Onboarding & Subscription,MVP
Story,Accept terms & privacy policy,"As a customer, I must accept the Terms & Conditions and Privacy Policy before making any payment.","- T&C and Privacy Policy displayed
- Checkbox must be ticked
- Timestamp and version stored",High,1,Customer Onboarding & Subscription,"Compliance,MVP"
Story,Schedule installation date/time,"As a customer, I want to pick an installation date and time so that I can be available.","- Calendar picker with next‑day minimum lead
- Conflict prevented if slot already full
- Confirmation screen shows chosen slot",High,3,Customer Onboarding & Subscription,MVP
Story,Enter installation address with map,"As a customer, I want to provide my home address and pin it on a map so that technicians can find me easily.","- Address autocomplete via Google Maps API
- Latitude/Longitude stored
- User can edit address later",High,3,Customer Onboarding & Subscription,MVP
Story,View subscription status,"As a customer, I want to view my active subscription and renewal date.","- Shows next renewal date
- Shows payment status
- Option to cancel (soft delete)",Medium,2,Customer Onboarding & Subscription,MVP
Story,Pay with Visa/Mastercard,"As a customer, I want to pay my subscription using Visa or Mastercard.","- Payment gateway supports Visa & Mastercard
- Failed payments retry logic
- Transaction receipt emailed",High,5,Payment & Billing,"PCI,MVP"
Story,Enable cash payment option,"As a customer, I want to choose 'Cash on Installation' so I can pay in Jordanian Dinar to the technician.","- Option selectable at checkout
- Cash due amount shown in job details for technician
- Technician marks payment collected",High,3,Payment & Billing,MVP
Story,Payment confirmation receipt,"As a customer, I receive an in‑app and email receipt after successful payment.","- Receipt includes amount, VAT, masked card digits
- Downloadable PDF
- Listed in Payments history",Medium,2,Payment & Billing,MVP
Story,Configure pricing in admin,"As an admin, I can change the price of the subscription plan.","- Admin field for price in JOD
- Changes apply only to new sign‑ups
- Audit log recorded",Medium,2,Payment & Billing,"Admin,MVP"
Story,Monthly filter change reminder,"As a customer, I get a push notification 3 days before my scheduled filter change.","- Trigger runs monthly
- Notification deep‑links to appointment details
- Reschedule option available",High,2,Notifications & Reminders,MVP
Story,Technician job assignment alert,"As a technician, I receive an instant notification when a new job is assigned.","- Jobs appear in technician app list
- Badge count updated
- Accept/Decline action supported",High,2,Notifications & Reminders,MVP
